District,Rooms,Price
Merkez / Çarşı,2+1,18500.0
Merkez / Çarşı,3+1,18000.0
Merkez,1+1,15250.0
Merkez / Gökçebostan,3+1,18000.0
Merkez / Kale,1+1,15000.0
Merkez / Çarşı,2+1,11000.0
Merkez,3+1,15500.0
Merkez / Gökçebostan,3+1,17250.0
Merkez / Mimarsinan,2+1,15000.0
Gürün,2+1,11500.0
Suşehri,3+1,16000.0
Merkez / Çarşı,2+1,15000.0
Merkez / Kale,2+1,18000.0
Merkez,3+1,15500.0
Merkez / Kümbet,2+1,15000.0
Merkez / Kümbet,3+1,15000.0
Merkez / Gökçebostan,2+1,15500.0
Merkez / Aydoğan,2+0,13000.0
Merkez / Gökçebostan,3+1,19000.0
Merkez / Aydoğan,3+1,18000.0
Merkez / Aydoğan,2+1,18000.0
Merkez / Kale,3+1,18000.0
Merkez / Kale,2+1,17000.0
Merkez / Gökçebostan,2+1,17000.0
Merkez / Gökçebostan,2+1,16000.0
Merkez / Gökçebostan,3+1,19000.0
Merkez / Mimarsinan,3+1,19000.0
Merkez / Kümbet,2+1,10500.0
Merkez / Gökçebostan,2+1,15000.0
Merkez / Aydoğan,3+1,18000.0
Merkez / Çarşı,2+1,16500.0
Merkez / Kale,2+1,15000.0
Merkez,2+1,11000.0
Merkez / Mimarsinan,4+1,15250.0
Merkez / Mimarsinan,3+1,16000.0
Merkez / Gökçebostan,3+1,9000.0
Şarkışla,3+1,13000.0
Merkez / Aydoğan,2+1,12500.0
Merkez / Kale,2+1,18000.0
Merkez / Kale,3+1,17500.0
Merkez / Kümbet,2+1,13500.0
Merkez / Ferhatbostan,3+1,18000.0
Merkez / Ferhatbostan,2+1,12500.0
Merkez / Kale,2+1,18000.0
Merkez / Kale,3+1,15000.0
Merkez / Kale,3+1,18000.0
Merkez / Çarşı,2+1,14500.0
Yıldızeli,2+1,8000.0
Merkez / Çarşı,3+1,15500.0
Merkez / Aydoğan,3+1,17000.0
Merkez / Ferhatbostan,2+1,14000.0
Yıldızeli,2.5+1,11000.0
Yıldızeli,2+1,11000.0
Merkez / Gökçebostan,4+1,13500.0
Merkez / Kale,3+1,16000.0
Merkez / Mimarsinan,3+1,18000.0
Merkez / Mimarsinan,3+1,15000.0
Yıldızeli,2+1,9000.0
Merkez / Mimarsinan,2+1,16000.0
Merkez / Kümbet,2+1,11000.0
Merkez / Aydoğan,3+1,16000.0
Merkez / Ferhatbostan,1+1,18000.0
Merkez / Mimarsinan,3+1,14500.0
Merkez / Gökçebostan,3+1,18000.0
Merkez / Çarşı,3+1,16000.0
Merkez / Kale,1+1,16000.0
Gemerek,3+1,12000.0
Merkez / Çarşı,2+1,14500.0
Merkez / Gökçebostan,3+1,14500.0
Merkez / Aydoğan,3+1,17000.0
Merkez / Kümbet,3+1,16000.0
Merkez / Mimarsinan,3+1,16500.0
Merkez,3+1,13000.0
Merkez / Mimarsinan,2+1,12000.0
Merkez,2+1,14250.0
Merkez / Ferhatbostan,3+1,13000.0
Merkez / Mimarsinan,3+1,13500.0
Gemerek / Yeniçubuk,2+1,12000.0
Şarkışla,3+1,15000.0
Merkez,3+1,18000.0
Yıldızeli,2+1,8500.0
Merkez / Kümbet,2+1,10000.0
Merkez / Kale,2+1,15500.0
Merkez / Çarşı,3+1,15000.0
Merkez / Ferhatbostan,2+1,12500.0
Merkez / Kale,2+1,15950.0
Merkez / Ferhatbostan,3+1,16000.0
Hafik,1+1,19000.0
Merkez / Mimarsinan,3+1,15000.0
Gürün,2+1,15000.0
Merkez / Gökçebostan,2+1,18500.0
Merkez / Ferhatbostan,2+1,15000.0
Merkez / Aydoğan,2+1,15000.0
Merkez,2+1,12750.0
Merkez,2+1,17500.0
Merkez / Ferhatbostan,3+1,18000.0
Merkez,2+1,13500.0
Gürün,3+1,11500.0
Merkez / Ferhatbostan,3+1,19500.0
Merkez / Kümbet,3+1,15500.0
Merkez / Mimarsinan,2+1,18000.0
Merkez / Aydoğan,2+1,15000.0
Merkez,1+1,13000.0
Merkez / Aydoğan,3+1,16100.0
Yıldızeli,3+1,14000.0
Merkez / Aydoğan,2+1,15000.0
Merkez / Mimarsinan,3+1,13500.0
Merkez / Gökçebostan,1+1,15750.0
Merkez / Ferhatbostan,3+1,19500.0
Merkez / Kümbet,2+1,10000.0
Yıldızeli,2+1,12000.0
Merkez / Gökçebostan,3+1,18000.0
Merkez / Gökçebostan,3+1,17500.0
Merkez,3+1,16500.0
Merkez / Gökçebostan,3+1,18500.0
Merkez / Gökçebostan,2+1,12000.0
Gürün,2+1,15000.0
Merkez / Çarşı,3+1,16500.0
Merkez / Aydoğan,3+1,14500.0
Merkez / Kale,3+1,17000.0
Merkez / Aydoğan,3+1,17500.0
Merkez / Gökçebostan,3+1,19500.0
Merkez / Kümbet,2+1,14500.0
Merkez / Çarşı,3+1,18500.0
Merkez / Kale,Stüdyo (1+0),17500.0
Merkez / Aydoğan,3+1,17000.0
Merkez / Gökçebostan,3+1,15350.0
Merkez / Kale,2+1,16000.0
Merkez / Mimarsinan,3+1,15000.0
Merkez / Ferhatbostan,3+1,18500.0
Merkez / Çarşı,2+1,13500.0
Merkez / Ferhatbostan,3+1,19000.0
Merkez / Ferhatbostan,2+1,16500.0
Merkez / Aydoğan,2+1,18000.0
Merkez / Gökçebostan,3+1,17500.0
Merkez / Mimarsinan,3+1,16000.0
Merkez / Aydoğan,3+1,15500.0
